Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalInvolvement,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
15,1,2.0,0.0,2.122600386,21.0,0.0,3.0,1.0,0.0,1.0,0,1.340368648,4.0
16,1,2.0,2.0,9.855626917,16.0,0.0,4.0,0.0,0.0,0.0,0,1.819511336,4.0
18,1,0.0,1.0,3.214266984,26.0,0.0,3.0,0.0,1.0,0.0,0,0.619350931,4.0
15,0,2.0,1.0,19.56530927,3.0,0.0,2.0,1.0,0.0,1.0,1,3.61946087,0.0
18,1,0.0,3.0,3.170404681,12.0,1.0,1.0,1.0,1.0,0.0,0,2.174902796,3.0
15,1,1.0,1.0,9.749356709,7.0,1.0,1.0,0.0,1.0,1.0,0,2.974406015,2.0
16,0,1.0,4.0,7.282421137,18.0,0.0,2.0,0.0,0.0,0.0,0,0.980735844,4.0
17,1,3.0,1.0,12.78772843,4.0,0.0,3.0,0.0,0.0,0.0,0,3.101673809,1.0
15,0,0.0,2.0,2.580728178,1.0,1.0,2.0,1.0,0.0,1.0,0,3.498257342,1.0
18,1,0.0,2.0,8.606328561,14.0,0.0,4.0,1.0,0.0,0.0,0,2.590553445,2.0
16,1,1.0,3.0,5.494100656,1.0,0.0,3.0,1.0,0.0,0.0,0,3.535003758,0.0
15,0,2.0,2.0,17.75503049,10.0,1.0,1.0,0.0,1.0,0.0,0,2.819921745,2.0
18,0,1.0,2.0,0.811714243,12.0,1.0,1.0,1.0,1.0,0.0,0,2.016596775,3.0
18,1,0.0,1.0,18.27454988,22.0,1.0,3.0,0.0,0.0,0.0,0,1.371185039,4.0
18,1,0.0,1.0,16.65988277,9.0,0.0,1.0,0.0,0.0,0.0,0,2.104795588,3.0
15,1,0.0,3.0,5.951414329,2.0,0.0,3.0,0.0,0.0,0.0,0,3.030439089,1.0
15,0,2.0,1.0,15.78581309,4.0,1.0,2.0,0.0,1.0,0.0,0,3.582421872,0.0
15,1,0.0,1.0,0.624271207,2.0,0.0,1.0,1.0,0.0,0.0,0,2.426546706,3.0
17,0,0.0,2.0,19.33731101,5.0,1.0,2.0,1.0,0.0,0.0,0,3.16143627,1.0
15,0,3.0,1.0,10.53189885,12.0,0.0,2.0,1.0,0.0,0.0,0,2.12263853,3.0
15,1,0.0,4.0,6.065620521,9.0,0.0,3.0,0.0,1.0,0.0,0,2.204860581,3.0
15,0,3.0,2.0,7.251664252,18.0,0.0,0.0,1.0,0.0,1.0,1,1.1829875,4.0
17,1,1.0,2.0,1.328107069,7.0,0.0,3.0,1.0,0.0,0.0,0,2.738795716,2.0
15,1,2.0,3.0,19.78699028,17.0,1.0,3.0,0.0,0.0,0.0,0,2.237901301,3.0
18,1,0.0,0.0,0.785838903,2.0,0.0,3.0,1.0,0.0,0.0,0,3.139481546,1.0
15,1,0.0,1.0,13.09814246,23.0,1.0,0.0,1.0,1.0,0.0,0,1.046044771,4.0
18,1,2.0,2.0,8.854718554,23.0,1.0,3.0,0.0,0.0,0.0,0,0.816458245,4.0
18,0,2.0,1.0,18.97832436,16.0,0.0,2.0,1.0,0.0,1.0,0,2.033544621,3.0
18,0,2.0,2.0,4.919994806,7.0,1.0,2.0,1.0,1.0,0.0,0,2.432078523,3.0
17,1,2.0,2.0,9.647124172,1.0,1.0,2.0,1.0,0.0,0.0,1,3.58888794,0.0
17,0,2.0,1.0,14.05732888,11.0,0.0,3.0,0.0,1.0,0.0,0,2.314587628,3.0
15,0,1.0,4.0,1.360204639,22.0,0.0,1.0,1.0,1.0,0.0,1,1.00722582,4.0
18,0,2.0,2.0,3.8757826,5.0,0.0,3.0,1.0,0.0,0.0,0,2.881612321,2.0
17,0,2.0,2.0,4.291296402,1.0,0.0,1.0,0.0,1.0,1.0,0,2.804504929,2.0
17,1,1.0,1.0,14.7630151,20.0,1.0,3.0,0.0,1.0,0.0,0,1.762921124,4.0
15,1,0.0,3.0,3.782773927,22.0,0.0,4.0,1.0,0.0,0.0,1,1.119911263,4.0
17,0,0.0,2.0,11.46983528,23.0,0.0,2.0,0.0,0.0,0.0,0,1.030657506,4.0
15,1,0.0,2.0,4.30487641,2.0,0.0,2.0,1.0,0.0,0.0,0,3.075619354,1.0
16,0,0.0,3.0,17.232499,16.0,1.0,3.0,1.0,1.0,0.0,0,2.631434065,2.0
17,1,0.0,1.0,18.84370909,28.0,0.0,0.0,0.0,1.0,1.0,1,0.503066907,4.0
16,0,0.0,2.0,10.3698595,6.0,0.0,2.0,0.0,0.0,0.0,0,2.784237837,2.0
15,1,0.0,3.0,7.046177684,28.0,0.0,2.0,0.0,0.0,0.0,0,0.247626765,4.0
18,0,0.0,1.0,4.6811555,20.0,0.0,3.0,0.0,0.0,0.0,1,1.18954877,4.0
17,0,2.0,2.0,0.99562003,4.0,1.0,3.0,1.0,0.0,0.0,1,3.375994009,1.0
15,1,3.0,3.0,5.370001524,22.0,1.0,3.0,0.0,0.0,0.0,0,1.293573556,4.0
18,0,0.0,2.0,13.0847156,0.0,1.0,3.0,0.0,0.0,1.0,1,3.718586904,0.0
18,1,3.0,2.0,10.67233863,7.0,0.0,3.0,1.0,0.0,0.0,0,2.670559615,2.0
16,1,1.0,3.0,18.88082557,11.0,1.0,2.0,1.0,0.0,0.0,0,2.369648013,3.0
15,0,0.0,3.0,7.92554525,13.0,0.0,2.0,0.0,1.0,0.0,0,1.62448682,4.0
18,1,0.0,1.0,13.87726685,15.0,1.0,2.0,1.0,1.0,0.0,0,2.537476828,2.0
17,1,1.0,0.0,9.78645495,9.0,0.0,4.0,0.0,1.0,0.0,0,2.298417929,3.0
17,1,2.0,2.0,10.25152432,14.0,0.0,3.0,1.0,0.0,0.0,0,2.25980415,3.0
16,1,2.0,2.0,5.355486292,20.0,0.0,2.0,0.0,1.0,0.0,0,1.321343301,4.0
18,1,0.0,2.0,9.099015537,23.0,0.0,3.0,0.0,1.0,0.0,0,0.949974228,4.0
15,0,0.0,2.0,9.41569994,25.0,0.0,2.0,1.0,0.0,0.0,1,0.818786616,4.0
17,1,0.0,1.0,14.13285043,14.0,1.0,3.0,0.0,0.0,0.0,0,2.339224513,3.0
18,1,0.0,2.0,18.81279998,9.0,0.0,2.0,0.0,1.0,0.0,0,2.682776288,2.0
18,1,0.0,1.0,6.58642555,20.0,1.0,1.0,1.0,0.0,0.0,0,1.543837471,4.0
16,1,0.0,2.0,0.844009372,27.0,0.0,3.0,1.0,0.0,0.0,0,0.196901105,4.0
17,1,2.0,2.0,9.92590251,6.0,0.0,3.0,0.0,0.0,0.0,0,2.748610257,2.0
17,0,3.0,1.0,10.88922664,25.0,1.0,2.0,1.0,0.0,1.0,0,1.104893788,4.0
15,1,0.0,1.0,3.368811023,2.0,0.0,2.0,1.0,0.0,0.0,0,2.553439811,2.0
17,0,3.0,2.0,15.20929213,1.0,0.0,3.0,1.0,0.0,0.0,1,3.274233459,1.0
15,0,0.0,2.0,19.69858217,5.0,1.0,3.0,0.0,0.0,0.0,0,3.186060378,1.0
17,0,0.0,1.0,18.91549434,20.0,0.0,3.0,1.0,0.0,0.0,0,1.72211575,4.0
16,0,0.0,4.0,3.942120776,8.0,0.0,2.0,1.0,1.0,0.0,0,2.338046358,3.0
17,1,1.0,2.0,17.5072648,9.0,1.0,4.0,1.0,1.0,0.0,0,3.273998748,1.0
15,0,3.0,4.0,14.08987273,3.0,0.0,3.0,0.0,0.0,0.0,0,2.993502391,2.0
15,0,1.0,2.0,9.076931276,26.0,1.0,3.0,1.0,0.0,0.0,0,0.896397899,4.0
16,1,0.0,2.0,10.81221989,2.0,0.0,3.0,0.0,0.0,0.0,0,2.961055259,2.0
17,1,1.0,3.0,16.9920035,8.0,0.0,1.0,1.0,0.0,0.0,0,2.674351095,2.0
16,0,2.0,2.0,7.464147382,21.0,1.0,3.0,0.0,0.0,0.0,0,1.36559111,4.0
17,1,1.0,1.0,9.864949861,16.0,0.0,2.0,0.0,0.0,0.0,1,1.522274845,4.0
17,1,0.0,2.0,11.58259608,13.0,1.0,3.0,0.0,0.0,0.0,0,2.231402397,3.0
15,0,1.0,1.0,3.781553076,9.0,0.0,2.0,1.0,0.0,0.0,0,2.135266355,3.0
17,1,1.0,1.0,18.01815461,12.0,0.0,2.0,0.0,0.0,0.0,0,2.255698915,3.0
17,1,0.0,0.0,13.48373898,11.0,1.0,1.0,1.0,0.0,1.0,0,2.751145788,2.0
16,1,1.0,0.0,12.66537835,26.0,0.0,3.0,1.0,1.0,0.0,0,0.897634159,4.0
16,1,0.0,4.0,1.989924524,0.0,0.0,1.0,1.0,0.0,0.0,1,3.117354435,1.0
18,0,2.0,1.0,12.08347876,27.0,0.0,3.0,1.0,0.0,1.0,0,1.287595131,4.0
15,1,2.0,2.0,2.419213245,21.0,0.0,2.0,0.0,0.0,0.0,0,0.571053098,4.0
17,1,2.0,3.0,1.573953504,28.0,0.0,3.0,1.0,0.0,0.0,0,0.581355799,4.0
17,0,1.0,2.0,10.54621791,18.0,0.0,1.0,0.0,0.0,1.0,0,1.643462404,4.0
18,1,1.0,1.0,8.055710681,18.0,0.0,1.0,0.0,0.0,0.0,0,1.234844041,4.0
17,0,0.0,2.0,11.7762054,5.0,0.0,3.0,0.0,1.0,0.0,1,2.96809362,2.0
15,1,2.0,2.0,1.784443361,12.0,0.0,2.0,1.0,0.0,0.0,0,2.00929848,3.0
18,0,0.0,2.0,8.619661257,18.0,0.0,1.0,1.0,0.0,0.0,0,1.146086034,4.0
15,0,0.0,2.0,3.495734301,12.0,1.0,4.0,0.0,0.0,0.0,0,2.192363198,3.0
18,0,0.0,4.0,19.74200172,26.0,1.0,1.0,1.0,0.0,0.0,0,0.945730873,4.0
18,0,0.0,2.0,11.22300425,25.0,0.0,2.0,1.0,0.0,0.0,0,0.567250028,4.0
16,1,1.0,1.0,13.74873722,21.0,0.0,1.0,0.0,0.0,0.0,0,0.970764347,4.0
15,0,0.0,2.0,6.508365614,20.0,1.0,2.0,1.0,0.0,1.0,1,1.656060126,4.0
17,1,2.0,0.0,1.894778296,3.0,0.0,2.0,0.0,0.0,1.0,0,2.839313249,2.0
17,0,0.0,3.0,19.51741726,23.0,0.0,1.0,0.0,0.0,1.0,1,0.18981806,4.0
15,0,0.0,1.0,5.725180708,1.0,0.0,3.0,1.0,0.0,0.0,0,3.258294685,1.0
17,0,1.0,1.0,8.476163703,14.0,1.0,2.0,0.0,0.0,0.0,0,1.920055853,4.0
17,1,0.0,3.0,12.99727843,11.0,0.0,3.0,0.0,0.0,0.0,0,2.021771494,3.0
15,0,0.0,2.0,0.493945954,29.0,1.0,1.0,1.0,0.0,0.0,0,0.125933075,4.0
18,1,2.0,1.0,16.20518261,26.0,1.0,2.0,1.0,0.0,0.0,0,1.287013412,4.0
15,1,0.0,2.0,10.7315638,6.0,0.0,0.0,1.0,0.0,1.0,0,2.591426703,2.0
18,1,2.0,3.0,5.564343741,19.0,1.0,3.0,0.0,0.0,0.0,0,1.463379649,4.0
17,1,0.0,1.0,1.232159706,17.0,0.0,3.0,0.0,0.0,0.0,0,1.465549386,4.0
17,1,0.0,3.0,3.249968309,22.0,0.0,3.0,1.0,1.0,0.0,1,1.710466838,4.0
17,1,2.0,0.0,17.90067718,12.0,0.0,2.0,0.0,1.0,0.0,1,2.288505685,3.0
16,1,0.0,2.0,13.72048448,16.0,0.0,3.0,0.0,0.0,1.0,0,1.960968849,4.0
18,1,0.0,3.0,4.998034433,3.0,0.0,3.0,0.0,0.0,0.0,0,2.621623326,2.0
16,1,0.0,1.0,1.312015299,24.0,0.0,0.0,1.0,0.0,0.0,0,0.768316386,4.0
16,0,0.0,2.0,13.81230625,13.0,0.0,1.0,0.0,0.0,1.0,0,1.806406345,4.0
15,0,2.0,1.0,11.44815452,19.0,0.0,2.0,0.0,0.0,0.0,0,0.881866353,4.0
16,0,0.0,2.0,8.090390489,27.0,0.0,3.0,0.0,1.0,0.0,0,0.817068221,4.0
15,0,2.0,2.0,7.272228984,12.0,1.0,0.0,0.0,0.0,0.0,0,1.446132528,4.0
15,0,2.0,2.0,4.336285519,2.0,0.0,3.0,0.0,1.0,0.0,0,3.339094362,1.0
16,1,0.0,1.0,13.39222513,25.0,0.0,2.0,0.0,0.0,0.0,0,0.819625478,4.0
18,1,3.0,1.0,19.41336056,25.0,0.0,2.0,0.0,0.0,0.0,0,0.676817973,4.0
18,1,0.0,0.0,3.514304917,17.0,0.0,1.0,0.0,1.0,0.0,1,1.389544874,4.0
18,1,3.0,1.0,11.9423324,13.0,0.0,2.0,0.0,1.0,0.0,1,1.991508414,4.0
18,1,0.0,2.0,8.483701115,14.0,0.0,0.0,0.0,1.0,0.0,0,1.63986755,4.0
18,1,1.0,3.0,8.933774435,2.0,0.0,0.0,0.0,1.0,0.0,0,2.511743021,2.0
16,1,0.0,2.0,5.082945603,0.0,0.0,3.0,0.0,0.0,1.0,0,2.98391995,2.0
16,0,0.0,2.0,16.50269751,25.0,1.0,2.0,0.0,0.0,1.0,0,1.258654854,4.0
17,0,1.0,4.0,9.705112083,23.0,1.0,2.0,0.0,0.0,0.0,0,1.417929927,4.0
18,0,2.0,2.0,10.86811704,16.0,0.0,1.0,1.0,0.0,1.0,0,1.597016572,4.0
16,0,0.0,3.0,6.095218256,2.0,1.0,2.0,0.0,1.0,0.0,0,3.088699868,1.0
17,1,0.0,2.0,3.636169313,13.0,0.0,0.0,1.0,1.0,0.0,0,1.641341443,4.0
18,1,2.0,1.0,1.718207764,2.0,0.0,2.0,0.0,1.0,0.0,0,2.586870656,2.0
15,1,1.0,0.0,14.28238282,12.0,1.0,2.0,0.0,0.0,0.0,0,2.389032645,3.0
17,0,3.0,2.0,3.924685634,14.0,0.0,2.0,1.0,0.0,0.0,0,1.8981464,4.0
16,1,2.0,1.0,13.80150708,17.0,0.0,4.0,0.0,1.0,0.0,0,2.110487975,3.0
15,1,3.0,1.0,7.807528921,13.0,0.0,2.0,0.0,0.0,0.0,0,1.700273589,4.0
15,1,2.0,2.0,8.31549602,20.0,0.0,2.0,1.0,0.0,0.0,0,1.044499995,4.0
15,0,0.0,2.0,9.383549922,25.0,0.0,2.0,0.0,1.0,0.0,0,1.194166134,4.0
17,1,0.0,2.0,7.354170163,2.0,0.0,1.0,0.0,0.0,1.0,0,2.649136828,2.0
16,0,2.0,1.0,2.012399544,18.0,0.0,3.0,0.0,1.0,0.0,0,1.234141389,4.0
15,0,1.0,1.0,6.1926362,7.0,0.0,2.0,1.0,0.0,0.0,0,2.127408866,3.0
18,0,0.0,2.0,13.27468721,3.0,1.0,1.0,1.0,0.0,0.0,0,2.913887649,2.0
15,0,0.0,4.0,13.31568803,3.0,0.0,3.0,0.0,0.0,0.0,1,3.119393913,1.0
15,1,3.0,2.0,5.724486145,18.0,1.0,0.0,0.0,0.0,0.0,0,1.036378738,4.0
17,0,1.0,3.0,9.202052531,10.0,0.0,4.0,1.0,0.0,0.0,1,2.403284547,3.0
17,0,0.0,2.0,3.86894456,0.0,1.0,3.0,0.0,0.0,0.0,0,3.156508064,1.0
18,1,0.0,1.0,0.460941768,14.0,0.0,1.0,1.0,1.0,0.0,0,1.530951146,4.0
17,0,0.0,2.0,17.934931,0.0,0.0,1.0,0.0,0.0,0.0,0,3.468581349,1.0
15,1,0.0,2.0,4.214133301,6.0,0.0,1.0,1.0,0.0,0.0,0,2.302032044,3.0
16,0,0.0,2.0,4.550677539,20.0,1.0,1.0,1.0,0.0,0.0,0,1.265677909,4.0
